# {"t_start": 1587025099.1950388, "env_id": "TwoRooms-v0"} 
r,l,t
-5.0,50,2.427548
-5.0,50,2.806535
-5.0,50,3.153607
-5.0,50,3.512646
-5.0,50,3.890637
-5.0,50,4.248677
