# {"t_start": 1587025088.6492443, "env_id": "TwoRooms-v0"} 
r,l,t
-5.0,50,12.972345
-5.0,50,13.351331
-5.0,50,13.698403
-5.0,50,14.057443
-5.0,50,14.435432
-5.0,50,14.793474
