# {"t_start": 1587025095.460029, "env_id": "TwoRooms-v0"} 
r,l,t
-5.0,50,6.16156
-5.0,50,6.540546
-5.0,50,6.887619
-5.0,50,7.247656
-5.0,50,7.624647
-5.0,50,7.983687
