# {"t_start": 1587025096.3855598, "env_id": "TwoRooms-v0"} 
r,l,t
-5.0,50,5.237027
-3.9,50,5.615016
0.5,50,5.962088
-5.0,50,6.322125
-5.0,50,6.700116
-5.0,50,7.058156
