# {"t_start": 1587025086.079118, "env_id": "TwoRooms-v0"} 
r,l,t
-5.0,50,15.542471
-5.0,50,15.921457
-5.0,50,16.267532
-5.0,50,16.627569
-5.0,50,17.005558
-5.0,50,17.363601
