# {"t_start": 1587025093.8403604, "env_id": "TwoRooms-v0"} 
r,l,t
-5.0,50,7.781229
-5.0,50,8.160215
-2.8,50,8.507287
-5.0,50,8.867324
-5.0,50,9.244316
-5.0,50,9.602358
