# {"t_start": 1587025099.8423417, "env_id": "TwoRooms-v0"} 
r,l,t
-5.0,50,1.780246
-3.9,50,2.159232
-5.0,50,2.506304
-5.0,50,2.865343
-5.0,50,3.243334
-5.0,50,3.601374
