# {"t_start": 1587025097.0348172, "env_id": "TwoRooms-v0"} 
r,l,t
-2.8,50,4.58777
-5.0,50,4.965758
-5.0,50,5.31283
-5.0,50,5.672867
-5.0,50,6.050858
-5.0,50,6.408898
