# {"t_start": 1587025091.4956322, "env_id": "TwoRooms-v0"} 
r,l,t
-5.0,50,10.125957
-5.0,50,10.504943
-5.0,50,10.852015
-5.0,50,11.211055
-0.6,50,11.589044
-5.0,50,11.947087
