# {"t_start": 1587025083.8550668, "env_id": "TwoRooms-v0"} 
r,l,t
-5.0,50,17.766522
-5.0,50,18.145509
-5.0,50,18.491583
0.5,50,18.85162
-5.0,50,19.229609
-5.0,50,19.587652
