# {"t_start": 1587025092.7243445, "env_id": "TwoRooms-v0"} 
r,l,t
-5.0,50,8.897244
-5.0,50,9.276231
-5.0,50,9.623303
-5.0,50,9.982342
0.5,50,10.360332
-5.0,50,10.718374
