# {"t_start": 1587025098.6504955, "env_id": "TwoRooms-v0"} 
r,l,t
-5.0,50,2.972092
-3.9,50,3.351078
-3.9,50,3.697152
-5.0,50,4.057189
-5.0,50,4.43518
-5.0,50,4.79322
