# {"t_start": 1587025077.3694122, "env_id": "TwoRooms-v0"} 
r,l,t
-5.0,50,24.252177
-5.0,50,24.631163
-5.0,50,24.977237
-5.0,50,25.337275
-5.0,50,25.715264
-5.0,50,26.073307
