# {"t_start": 1587025100.3918688, "env_id": "TwoRooms-v0"} 
r,l,t
-5.0,50,1.230718
-5.0,50,1.609704
-1.7,50,1.956777
-5.0,50,2.315816
-5.0,50,2.693807
-5.0,50,3.051847
