# {"t_start": 1587025097.886538, "env_id": "TwoRooms-v0"} 
r,l,t
-5.0,50,3.736049
-5.0,50,4.114037
-5.0,50,4.461109
-5.0,50,4.821146
-5.0,50,5.199138
-5.0,50,5.557178
